IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.238.182,443,443,true,FRA,Europe,Frankfurt,242,10.52
158.101.211.239,443,443,true,FRA,Europe,Frankfurt,188,10.51
144.21.60.56,443,443,true,FRA,Europe,Frankfurt,175,10.50
129.159.202.147,443,443,true,FRA,Europe,Frankfurt,176,10.49
130.162.188.103,443,443,true,FRA,Europe,Frankfurt,187,10.49
89.168.95.60,443,443,true,FRA,Europe,Frankfurt,175,10.48
141.148.235.167,443,443,true,FRA,Europe,Frankfurt,173,10.47
150.230.122.84,443,443,true,FRA,Europe,Frankfurt,184,10.47
150.230.123.254,443,443,true,FRA,Europe,Frankfurt,173,10.46
158.180.37.36,443,443,true,FRA,Europe,Frankfurt,178,10.44
130.162.51.98,443,443,true,FRA,Europe,Frankfurt,174,10.43
152.70.169.2,443,443,true,FRA,Europe,Frankfurt,175,10.43
138.3.244.115,443,443,true,FRA,Europe,Frankfurt,174,10.42
143.47.242.95,443,443,true,FRA,Europe,Frankfurt,185,10.42
141.147.86.253,443,443,true,FRA,Europe,Frankfurt,173,10.41
132.145.10.250,443,443,true,FRA,Europe,Frankfurt,189,10.41
141.147.94.64,443,443,true,FRA,Europe,Frankfurt,172,10.40
152.70.173.3,443,443,true,FRA,Europe,Frankfurt,179,10.39
130.61.10.131,443,443,true,FRA,Europe,Frankfurt,173,10.36
141.147.87.67,443,443,true,FRA,Europe,Frankfurt,208,10.34
158.180.46.98,443,443,true,FRA,Europe,Frankfurt,169,10.33
143.47.244.80,443,443,true,FRA,Europe,Frankfurt,200,10.29
152.70.187.151,443,443,true,FRA,Europe,Frankfurt,173,10.29
141.148.243.160,443,443,true,FRA,Europe,Frankfurt,180,10.28
143.47.238.54,443,443,true,FRA,Europe,Frankfurt,177,10.26
143.47.244.2,443,443,true,FRA,Europe,Frankfurt,172,10.24
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,172,10.24
152.67.146.125,443,443,true,FRA,Europe,Frankfurt,193,10.23
143.47.185.62,443,443,true,FRA,Europe,Frankfurt,200,10.23
152.70.165.170,443,443,true,FRA,Europe,Frankfurt,168,10.21
130.162.218.61,443,443,true,FRA,Europe,Frankfurt,181,10.18
141.147.101.246,443,443,true,FRA,Europe,Frankfurt,185,10.16
141.145.206.16,8443,443,true,CDG,Europe,Paris,163,10.14
152.70.180.87,443,443,true,FRA,Europe,Frankfurt,172,10.13
193.123.39.2,443,443,true,FRA,Europe,Frankfurt,173,10.09
150.230.120.114,443,443,true,FRA,Europe,Frankfurt,186,10.08
152.70.167.36,443,443,true,FRA,Europe,Frankfurt,175,10.02
130.162.230.113,443,443,true,FRA,Europe,Frankfurt,172,10.01
138.3.254.226,443,443,true,FRA,Europe,Frankfurt,191,9.93
158.178.150.223,443,443,true,FRA,Europe,Frankfurt,159,9.93
144.21.63.115,443,443,true,FRA,Europe,Frankfurt,173,9.91
79.72.79.183,443,443,true,FRA,Europe,Frankfurt,210,9.90
129.146.46.164,443,443,true,LAX,North America,Los Angeles,199,9.88
158.179.206.143,443,443,true,ARN,Europe,Stockholm,174,9.85
141.147.85.226,443,443,true,FRA,Europe,Frankfurt,182,9.80
138.3.246.181,443,443,true,FRA,Europe,Frankfurt,167,9.79
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,188,9.75
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,202,9.75
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,174,9.69
138.2.146.29,443,443,true,FRA,Europe,Frankfurt,177,9.68
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,209,9.68
193.123.35.178,443,443,true,FRA,Europe,Frankfurt,176,9.64
130.162.60.142,443,443,true,FRA,Europe,Frankfurt,177,9.63
141.148.234.89,443,443,true,FRA,Europe,Frankfurt,172,9.61
143.47.246.142,443,443,true,FRA,Europe,Frankfurt,187,9.60
158.101.215.51,443,443,true,FRA,Europe,Frankfurt,185,9.58
143.47.252.60,443,443,true,FRA,Europe,Frankfurt,206,9.56
141.144.193.95,443,443,true,FRA,Europe,Frankfurt,171,9.53
138.3.240.135,443,443,true,FRA,Europe,Frankfurt,183,9.46
144.24.175.128,443,443,true,FRA,Europe,Frankfurt,189,9.43
192.9.246.112,8443,443,true,SJC,North America,San Jose,181,9.39
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,260,9.36
192.9.138.241,443,443,true,SJC,North America,San Jose,213,9.28
158.101.176.119,443,443,true,FRA,Europe,Frankfurt,185,9.15
143.47.243.33,443,443,true,FRA,Europe,Frankfurt,201,9.13
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,171,9.13
84.8.159.199,443,443,true,FRA,Europe,Frankfurt,167,9.10
141.147.31.70,443,443,true,FRA,Europe,Frankfurt,188,9.05
150.230.34.116,443,443,true,SJC,North America,San Jose,199,9.05
141.147.112.169,443,443,true,FRA,Europe,Frankfurt,174,9.04
192.18.134.22,443,443,true,SJC,North America,San Jose,193,9.02
141.147.119.166,443,443,true,FRA,Europe,Frankfurt,184,9.02
152.67.232.185,8443,443,true,SJC,North America,San Jose,182,8.94
130.162.160.146,443,443,true,FRA,Europe,Frankfurt,181,8.94
141.147.69.51,443,443,true,FRA,Europe,Frankfurt,203,8.86
129.146.111.62,443,443,true,LAX,North America,Los Angeles,215,8.83
130.61.190.205,443,443,true,FRA,Europe,Frankfurt,167,8.63
144.21.35.22,443,443,true,FRA,Europe,Frankfurt,169,8.61
152.70.123.225,8443,443,true,SJC,North America,San Jose,201,8.43
84.235.174.106,443,443,true,FRA,Europe,Frankfurt,163,8.42
146.235.199.98,443,443,true,SJC,North America,San Jose,199,8.40
141.147.78.238,443,443,true,FRA,Europe,Frankfurt,176,8.34
158.101.203.240,443,443,true,FRA,Europe,Frankfurt,166,8.28
152.70.117.136,443,443,true,SJC,North America,San Jose,185,8.26
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,186,8.20
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,182,8.16
150.230.47.17,443,443,true,SJC,North America,San Jose,179,8.15
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,183,8.12
130.162.34.161,443,443,true,FRA,Europe,Frankfurt,160,8.02
132.226.133.87,443,443,true,FRA,Europe,Frankfurt,179,8.02
144.24.168.197,443,443,true,FRA,Europe,Frankfurt,180,8.01
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,168,7.76
165.1.79.60,8443,443,true,SJC,North America,San Jose,192,7.75
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,180,7.72
132.226.134.4,443,443,true,FRA,Europe,Frankfurt,160,7.69
79.72.89.36,443,443,true,FRA,Europe,Frankfurt,166,7.67
129.146.133.33,443,443,true,LAX,North America,Los Angeles,222,7.61
130.162.249.7,443,443,true,FRA,Europe,Frankfurt,173,7.59
144.21.60.211,443,443,true,FRA,Europe,Frankfurt,171,7.56
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,217,7.50
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,177,7.47
204.216.214.115,2095,443,true,MXP,Europe,Milan,275,7.45
152.67.136.221,443,443,true,FRA,Europe,Frankfurt,160,7.37
141.145.205.115,8443,8443,true,CDG,Europe,Paris,153,7.37
132.145.54.84,2053,443,true,LHR,Europe,London,152,7.35
193.123.61.214,443,443,true,FRA,Europe,Frankfurt,155,7.34
129.80.237.223,8443,443,true,IAD,North America,Ashburn,243,7.31
84.8.147.109,443,443,true,FRA,Europe,Frankfurt,182,7.25
141.144.201.222,443,443,true,FRA,Europe,Frankfurt,174,7.22
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,172,7.16
141.147.86.145,443,443,true,FRA,Europe,Frankfurt,172,7.09
140.238.28.86,443,443,true,HKG,Asia Pacific,Hong Kong,97,6.93
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,174,6.89
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,178,6.85
130.162.61.243,443,443,true,FRA,Europe,Frankfurt,265,6.80
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,179,6.78
158.180.26.137,443,443,true,FRA,Europe,Frankfurt,177,6.77
150.136.241.40,443,443,true,IAD,North America,Ashburn,234,6.76
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,216,6.71
141.147.59.85,443,443,true,FRA,Europe,Frankfurt,255,6.70
140.238.127.8,443,443,true,FRA,Europe,Frankfurt,176,6.70
132.145.54.84,8443,443,true,LHR,Europe,London,158,6.40
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,185,6.39
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,220,6.24
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,2,6.24
141.144.249.71,443,443,true,FRA,Europe,Frankfurt,169,6.13
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,255,6.11
68.233.127.163,8443,443,true,YUL,North America,Montréal,265,5.99
193.123.235.59,443,443,true,HKG,Asia Pacific,Hong Kong,88,5.99
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,174,5.98
193.122.197.111,443,443,true,IAD,North America,Ashburn,256,5.81
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,235,5.77
164.152.26.70,2052,443,true,ORD,North America,Chicago,221,5.76
129.146.248.140,443,443,true,LAX,North America,Los Angeles,206,5.75
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,107,5.75
